ID,RA,Dec,mag_r,True_Class,Prediction_Elliptical,Prediction_Spiral,predBin_Elliptical,predBin_Spiral,Train
SPLUS.STRIPE82-0001.03217.griz,359.9707,-1.2178,16.5,Spiral,0.0013567507,0.74053705,0,1,0
SPLUS.STRIPE82-0001.03521.griz,0.0559,-1.2136,16.34,Spiral,0.00034478307,0.87411195,0,1,0
SPLUS.STRIPE82-0001.03897.griz,0.2156,-1.1983,16.77,Elliptical,0.9999869,1.809001e-05,1,0,0
SPLUS.STRIPE82-0001.04261.griz,359.7408,-1.1574,16.05,Spiral,0.0005376339,0.8226291,0,1,0
SPLUS.STRIPE82-0001.05263.griz,359.7357,-1.1286,16.93,Spiral,0.0024757385,0.8093455,0,1,0
SPLUS.STRIPE82-0001.06137.griz,0.5112,-1.0858,16.52,Spiral,0.010787249,0.99091303,0,1,0
SPLUS.STRIPE82-0001.08015.griz,0.6892,-0.9934,16.53,Spiral,0.0013697147,0.5872388,0,1,0
SPLUS.STRIPE82-0001.08226.griz,359.5261,-0.9873,16.36,Spiral,0.00021404028,0.98296434,0,1,0
SPLUS.STRIPE82-0001.08662.griz,359.6077,-0.9655,15.67,Spiral,0.00014856458,0.9989797,0,1,0
SPLUS.STRIPE82-0001.09777.griz,0.5156,-0.907,16.58,Spiral,0.0039185584,0.99432874,0,1,0
SPLUS.STRIPE82-0001.11896.griz,359.3537,-0.7949,16.95,Spiral,0.00011900067,0.9984078,0,1,0
SPLUS.STRIPE82-0001.12430.griz,0.6231,-0.7595,16.68,Spiral,0.00018686056,0.9964332,0,1,0
SPLUS.STRIPE82-0001.12998.griz,359.3378,-0.7371,16.35,Spiral,0.0001412332,0.995293,0,1,0
SPLUS.STRIPE82-0001.13351.griz,0.1638,-0.0134,15.97,Spiral,0.0019776523,0.9429722,0,1,0
SPLUS.STRIPE82-0001.13589.griz,0.3597,-0.0286,16.76,Elliptical,0.9996482,0.00038143992,1,0,0
SPLUS.STRIPE82-0001.14080.griz,0.4538,-0.6015,16.97,Spiral,0.00088244677,0.9314797,0,1,0
SPLUS.STRIPE82-0001.14771.griz,0.4217,-0.0492,16.87,Spiral,1.5079975e-05,0.9997708,0,1,0
SPLUS.STRIPE82-0001.15853.griz,359.3915,-0.1094,16.67,Spiral,0.0004287064,0.901916,0,1,0
SPLUS.STRIPE82-0001.17570.griz,0.3598,-0.2091,15.75,Elliptical,0.9789531,0.01518932,1,0,0
SPLUS.STRIPE82-0001.18039.griz,0.3687,-0.2244,16.0,Spiral,7.072091e-05,0.77443343,0,1,0
SPLUS.STRIPE82-0001.18456.griz,0.376,-0.2462,16.6,Spiral,0.005967915,0.98773575,0,1,0
SPLUS.STRIPE82-0001.19852.griz,0.5532,-0.3025,16.4,Spiral,0.0002207756,0.9893638,0,1,0
SPLUS.STRIPE82-0001.20431.griz,0.5039,-0.3431,16.51,Spiral,0.0005582273,0.8612963,0,1,0
SPLUS.STRIPE82-0001.21388.griz,0.3989,-0.3951,15.73,Spiral,0.00046685338,0.85224414,0,1,0
SPLUS.STRIPE82-0001.21761.griz,359.6001,-0.4218,16.82,Elliptical,0.87230414,0.20311621,1,0,0
SPLUS.STRIPE82-0001.21867.griz,359.7032,-0.4125,16.86,Spiral,4.61936e-05,0.9896327,0,1,0
SPLUS.STRIPE82-0001.27368.griz,359.3115,-0.6434,15.06,Spiral,0.022741169,0.9690355,0,1,0
SPLUS.STRIPE82-0002.03589.griz,0.6168,0.1396,16.49,Spiral,0.00019443035,0.819113,0,1,0
SPLUS.STRIPE82-0002.05409.griz,0.0873,0.2151,16.6,Spiral,0.00021269917,0.97365236,0,1,0
SPLUS.STRIPE82-0002.06705.griz,359.8061,0.2341,16.28,Spiral,0.09517765,0.78067845,0,1,0
SPLUS.STRIPE82-0002.07138.griz,0.3942,0.2744,15.35,Elliptical,0.9992401,0.0010335445,1,0,0
SPLUS.STRIPE82-0002.08457.griz,359.9694,0.3333,16.48,Spiral,0.0006752312,0.7360802,0,1,0
SPLUS.STRIPE82-0002.12169.griz,0.7036,0.4762,16.1,Elliptical,0.9999498,0.0002040267,1,0,0
SPLUS.STRIPE82-0002.12235.griz,359.6165,0.4891,16.43,Spiral,0.7466482,0.47024554,1,0,0
SPLUS.STRIPE82-0002.12730.griz,359.73,0.5048,16.17,Elliptical,0.9981626,0.00066912174,1,0,0
SPLUS.STRIPE82-0002.14161.griz,359.9739,0.5562,15.49,Spiral,0.00020331144,0.89068174,0,1,0
SPLUS.STRIPE82-0002.14560.griz,0.6795,0.5721,16.12,Elliptical,0.9995557,0.0008971989,1,0,0
SPLUS.STRIPE82-0002.14682.griz,0.4566,0.5670000000000001,15.12,Elliptical,0.9998445,0.0003361702,1,0,0
SPLUS.STRIPE82-0002.15039.griz,359.5942,0.596,16.65,Spiral,0.00032266974,0.65894866,0,1,0
SPLUS.STRIPE82-0002.16038.griz,0.515,0.6319,15.75,Elliptical,0.9999663,8.046627e-05,1,0,0
SPLUS.STRIPE82-0002.16265.griz,359.92199999999997,0.6371,15.62,Elliptical,0.9996778,0.0007208884,1,0,0
SPLUS.STRIPE82-0002.16546.griz,0.3771,0.6584,16.46,Spiral,0.0005571842,0.9315651,0,1,0
SPLUS.STRIPE82-0002.16807.griz,359.9672,0.6716,16.9,Spiral,0.0015210509,0.9953814,0,1,0
SPLUS.STRIPE82-0002.16998.griz,359.6151,0.6695,16.25,Spiral,0.00011974573,0.95240104,0,1,0
SPLUS.STRIPE82-0002.17118.griz,359.4322,0.6552,14.55,Spiral,0.00015181303,0.98260975,0,1,0
SPLUS.STRIPE82-0002.17212.griz,0.1839,0.6731,15.37,Elliptical,0.9996059,0.00043118,1,0,0
SPLUS.STRIPE82-0002.17282.griz,359.5093,0.6909,16.69,Spiral,0.66709423,0.7180301,0,0,0
SPLUS.STRIPE82-0002.18012.griz,359.5751,0.7015,16.09,Spiral,0.021017969,0.98600554,0,1,0
SPLUS.STRIPE82-0002.18076.griz,359.4212,0.6933,15.67,Spiral,0.00025326014,0.7658155,0,1,0
SPLUS.STRIPE82-0002.18622.griz,359.8582,0.7214,15.46,Elliptical,0.98718005,0.025567621,1,0,0
SPLUS.STRIPE82-0002.20451.griz,359.4993,0.7691,14.86,Elliptical,0.9993676,0.000703305,1,0,0
SPLUS.STRIPE82-0002.21029.griz,359.4524,0.7956,14.4,Elliptical,0.9999985,4.172325e-06,1,0,0
SPLUS.STRIPE82-0002.22121.griz,359.9512,1.1488,16.29,Spiral,0.002376616,0.9934422,0,1,0
SPLUS.STRIPE82-0002.22724.griz,0.0533,1.1203,13.98,Spiral,7.7962875e-05,0.92791003,0,1,0
SPLUS.STRIPE82-0002.23457.griz,0.4175,1.092,15.64,Spiral,0.9881978,0.022205502,1,0,0
SPLUS.STRIPE82-0002.25646.griz,0.4219,1.0172,16.97,Spiral,0.00060144067,0.92887056,0,1,0
SPLUS.STRIPE82-0002.26854.griz,359.8425,0.9962,16.13,Elliptical,0.99906206,0.0011081696,1,0,0
SPLUS.STRIPE82-0002.27512.griz,0.6652,0.9428,15.39,Spiral,0.00032556057,0.6641688,0,1,0
SPLUS.STRIPE82-0002.29115.griz,359.673,0.895,16.42,Spiral,0.00085034966,0.4998603,0,0,0
SPLUS.STRIPE82-0002.29301.griz,0.2148,0.89,16.49,Elliptical,0.99732554,0.0030182302,1,0,0
SPLUS.STRIPE82-0002.29858.griz,359.8528,0.8541,15.32,Spiral,8.037686e-05,0.7676281,0,1,0
SPLUS.STRIPE82-0002.29860.griz,0.1448,0.8574,16.89,Spiral,0.9887188,0.012951404,1,0,0
SPLUS.STRIPE82-0002.30159.griz,359.7251,0.8457,16.24,Spiral,0.000115573406,0.9959626,0,1,0
SPLUS.STRIPE82-0002.34751.griz,359.3732,1.2396,15.65,Spiral,0.0009344518,0.9959111,0,1,0
SPLUS.STRIPE82-0003.04521.griz,1.0758,-1.1614,15.85,Spiral,0.00011622906,0.9985699,0,1,0
SPLUS.STRIPE82-0003.09475.griz,1.3995,-0.9223,16.21,Spiral,0.00094640255,0.53302413,0,1,0
SPLUS.STRIPE82-0003.10890.griz,1.8546,-0.8628,16.13,Spiral,0.00021865964,0.9565424,0,1,0
SPLUS.STRIPE82-0003.11012.griz,1.6576,-0.8536,16.92,Spiral,0.00083750486,0.8674715,0,1,0
SPLUS.STRIPE82-0003.11760.griz,1.6202,-0.7841,14.86,Spiral,0.00031384826,0.75674593,0,1,0
SPLUS.STRIPE82-0003.12587.griz,2.0301,-0.7797,15.62,Spiral,0.0005529523,0.8460507,0,1,0
SPLUS.STRIPE82-0003.12667.griz,1.318,-0.7844,16.95,Spiral,0.0016322136,0.9594407,0,1,0
